graph_id,geography_code,geography,ses_category,edge_count,density,mean_same_ses_jaccard,median_same_ses_jaccard,mean_same_ses_density_adjusted_z,robust_similarity_z,robust_density_adjusted_similarity_z,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,ses_definition,rule_id
2024_19_education_binary_higher,19,Iowa,higher,32,0.7111111111111111,0.7861192699327448,0.8141447368421053,4.586960886963557,0.7445453328539937,1.5293293781219925,5390,1555985.9503549011,3337.8985359141643,28,5390,education_binary,adjusted_fdr
2024_48_education_binary_higher,48,Texas,higher,35,0.7777777777777778,0.7868154793135258,0.810672514619883,4.187884911363961,0.7609401197254902,0.8020978692673146,8268,13937209.437036429,2629.8350880007556,92,8268,education_binary,adjusted_fdr
2024_17_education_binary_higher,17,Illinois,higher,39,0.8666666666666667,0.7870173613943495,0.8205128205128205,3.8460820143802197,0.7656941689808542,0.17923442545584695,8264,6242711.3661557175,5195.347463432801,53,8264,education_binary,adjusted_fdr
2024_45_education_binary_higher,45,South Carolina,higher,35,0.7777777777777778,0.7897127343351601,0.8081831831831832,4.270445529451206,0.8291665468655339,0.9525471233807786,6319,2611058.1626568246,2202.0190265889314,67,6319,education_binary,adjusted_fdr
2024_31_education_binary_higher,31,Nebraska,higher,33,0.7333333333333333,0.7915556815829395,0.8242647058823529,4.576207847374637,0.872565455551398,1.509734239143067,7859,993022.9338147017,3976.8806006961954,84,7859,education_binary,adjusted_fdr
2024_30_education_binary_higher,30,Montana,higher,32,0.7111111111111111,0.7952481470905888,0.8090277777777778,4.792663937174327,0.959518011347694,1.9041796540776634,4862,593710.7976748479,3000.783502257326,23,4862,education_binary,adjusted_fdr
2024_20_education_binary_higher,20,Kansas,higher,34,0.7555555555555555,0.7995099914873773,0.8108108108108109,4.584933434459223,1.0598786679169176,1.5256347750037689,7590,1459808.064051657,4542.637582570952,39,7590,education_binary,adjusted_fdr
2024_24_education_binary_higher,24,Maryland,higher,33,0.7333333333333333,0.8050263784834387,0.8220211161387632,4.833662054168983,1.1897821015645242,1.9788900458456187,10060,3162209.519608372,4953.051330082285,17,10060,education_binary,adjusted_fdr
2024_46_education_binary_higher,46,South Dakota,higher,10,0.2222222222222222,0.3020778145236318,0.29411764705882354,2.1817637637943195,-10.653974591568117,-2.853633365619436,4085,440365.4332388571,671.7238562297061,40,4085,education_binary,adjusted_stable
2024_46_education_binary_lower,46,South Dakota,lower,14,0.3111111111111111,0.35192285197732376,0.34285714285714286,1.5591279382790357,-4.505758289543236,-2.8715386372998175,1742,275346.20757370605,295.6681344471387,40,1742,education_binary,adjusted_stable
