bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
329,0.2,542,501,501,0,0.9243542435424354,0.9243542435424354
329,0.3,342,306,306,0,0.8947368421052632,0.8947368421052632
330,0.1,1098,977,977,0,0.8897996357012751,0.8897996357012751
330,0.2,542,533,533,0,0.9833948339483395,0.9833948339483395
330,0.3,342,334,334,0,0.9766081871345029,0.9766081871345029
331,0.1,1098,1014,1014,0,0.9234972677595629,0.9234972677595629
331,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
331,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
332,0.1,1098,1015,1015,0,0.924408014571949,0.924408014571949
332,0.2,542,490,490,0,0.9040590405904059,0.9040590405904059
332,0.3,342,310,310,0,0.9064327485380117,0.9064327485380117
333,0.1,1098,1013,1013,0,0.9225865209471766,0.9225865209471766
333,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
333,0.3,342,317,317,0,0.9269005847953217,0.9269005847953217
334,0.1,1098,1006,1006,0,0.9162112932604736,0.9162112932604736
334,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
334,0.3,342,313,313,0,0.9152046783625731,0.9152046783625731
335,0.1,1098,1018,1018,0,0.9271402550091075,0.9271402550091075
335,0.2,542,515,515,0,0.9501845018450185,0.9501845018450185
335,0.3,342,334,334,0,0.9766081871345029,0.9766081871345029
336,0.1,1098,988,988,0,0.8998178506375227,0.8998178506375227
336,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
336,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
337,0.1,1098,1008,1008,0,0.9180327868852459,0.9180327868852459
337,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
337,0.3,342,317,317,0,0.9269005847953217,0.9269005847953217
338,0.1,1098,1007,1007,0,0.9171220400728597,0.9171220400728597
338,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
338,0.3,342,311,311,0,0.9093567251461988,0.9093567251461988
339,0.1,1098,996,996,0,0.907103825136612,0.907103825136612
339,0.2,542,530,530,0,0.977859778597786,0.977859778597786
339,0.3,342,337,337,0,0.9853801169590644,0.9853801169590644
340,0.1,1098,1089,1089,0,0.9918032786885246,0.9918032786885246
340,0.2,542,530,530,0,0.977859778597786,0.977859778597786
340,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
341,0.1,1098,992,992,0,0.9034608378870674,0.9034608378870674
341,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
341,0.3,342,308,308,0,0.9005847953216374,0.9005847953216374
342,0.1,1098,998,998,0,0.9089253187613844,0.9089253187613844
342,0.2,542,524,524,0,0.966789667896679,0.966789667896679
342,0.3,342,331,331,0,0.9678362573099415,0.9678362573099415
343,0.1,1098,961,961,0,0.8752276867030966,0.8752276867030966
343,0.2,542,500,500,0,0.922509225092251,0.922509225092251
343,0.3,342,298,298,0,0.8713450292397661,0.8713450292397661
344,0.1,1098,997,997,0,0.9080145719489982,0.9080145719489982
344,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
344,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
345,0.1,1098,1056,1056,0,0.9617486338797814,0.9617486338797814
